NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Palestine city, Texas",18318,3.37,3784,16.8,18318,1016,539,1889,15.4
"Byers city, Texas",603,3.28,15,34.8,603,25,17,98,6.3
"Bolivar Peninsula CDP, Texas",2190,2.96,353,25.2,2190,36,158,173,14.7
"La Marque city, Texas",15912,3.43,3322,25.1,15912,1001,1058,2147,13.6
"Paducah town, Texas",1229,2.76,313,15.2,1229,65,8,96,23.1
"Tiki Island village, Texas",861,2.14,55,39.9,861,18,14,246,3.5
"Giddings city, Texas",5010,3.44,1452,18.5,5010,355,209,434,19.6
"Bruni CDP, Texas",213,2.45,164,28.4,213,13,0,10,16
"Naples city, Texas",1292,2.78,36,25.9,1292,34,36,165,16.7
"Crystal City city, Texas",7401,4.15,5533,12.8,7401,480,355,262,28.8
"La Pryor CDP, Texas",1531,4.27,904,17.5,1531,83,33,58,27.1
"Lawn town, Texas",302,2.82,36,25.8,302,34,8,39,10.4
"North Pearsall CDP, Texas",1372,4.72,708,10.9,1372,86,61,28,7.1
"La Homa CDP, Texas",13260,4.3,11079,22.1,13260,1120,357,750,36.3
"Mila Doce CDP, Texas",6354,4.7,5183,26.1,6354,489,191,328,50.4
"Olivarez CDP, Texas",4255,5.03,3238,28.5,4255,476,203,429,39.3
"Pilot Point city, Texas",4246,3.21,1350,23.1,4246,403,218,746,18.6
"Corpus Christi city, Texas",322726,3.27,110906,19.2,322726,17397,20623,36376,12.1
"North San Pedro CDP, Texas",452,3.03,346,26.9,452,20,0,0,10.9
"Cisco city, Texas",3800,2.98,212,12.1,3800,162,455,353,9.4
"Carbon town, Texas",338,3.45,27,21.3,338,5,4,41,5.2
"Nesbitt town, Texas",162,2,2,18.4,162,0,0,15,32.6
"Gruver city, Texas",1227,3.58,433,13.6,1227,68,39,161,3.8
"Santa Maria CDP, Texas",808,3.99,627,15.7,808,69,42,10,21.4
"Palm Valley city, Texas",1814,2.91,414,17.4,1814,37,88,263,1
"Port Isabel city, Texas",5049,3.39,2773,17.9,5049,323,234,301,23.7
"Reid Hope King CDP, Texas",1160,4.68,991,N,1160,30,0,32,31.5
"Villa del Sol CDP, Texas",113,11.3,51,N,113,0,0,0,100
"Nolanville city, Texas",4878,3.41,553,24.1,4878,285,530,614,13
"Pine Island town, Texas",1196,3.59,392,30.3,1196,58,44,75,7.7
"Killeen city, Texas",140513,3.37,29464,21.3,140513,7597,14797,15968,12.2
"Little River-Academy city, Texas",1989,3.55,376,19.9,1989,167,47,288,10.5
"Troy city, Texas",1980,3.46,76,25,1980,152,40,274,6.5
"Quail CDP, Texas",4,2,0,N,4,0,0,0,0
"Samnorwood CDP, Texas",43,4.78,0,N,43,0,0,3,0
"Roscoe city, Texas",1403,3.3,578,15.8,1403,78,16,149,7.1
"Willow Park city, Texas",4857,2.88,179,32.1,4857,107,329,1099,1.4
"Weimar city, Texas",2299,3.54,345,15.9,2299,197,42,234,16.1
"Ross city, Texas",269,3.47,49,24.5,269,22,11,28,2.9
"Karnes City city, Texas",3303,3.9,1387,16.2,3303,150,78,161,16.3
"Kyle city, Texas",36929,3.62,9183,34.3,36929,2186,2409,6676,5.5
"Hamilton city, Texas",2943,3.01,210,12.4,2943,183,78,225,18.7
"Fort Hancock CDP, Texas",1466,4.66,1238,37.4,1466,139,65,48,41.4
"Kennard city, Texas",229,2.72,2,27.9,229,10,2,21,11.6
"Longview city, Texas",82219,3.25,13836,18.6,82219,4049,4628,8861,14.4
"White Oak city, Texas",6367,3.19,283,25.9,6367,352,436,854,17.6
"Brackettville city, Texas",2016,4.71,1233,11.7,2016,63,158,78,6.2
"Galveston city, Texas",49706,3.02,12277,20.6,49706,2226,5625,3901,15.5
"La Presa CDP, Texas",254,4.13,245,31.6,254,17,37,0,45
"Ranchos Penitas West CDP, Texas",1011,4.89,884,28.4,1011,152,38,52,25.1
"Caldwell city, Texas",4239,3.25,751,19.9,4239,297,185,372,19.1
"Bishop Hills town, Texas",303,3.07,5,22.9,303,8,26,79,0
"Bandera city, Texas",785,3.11,123,23.3,785,33,2,111,12.4
"Lakehills CDP, Texas",5447,3.32,556,42.4,5447,285,261,987,16.3
"Miami city, Texas",475,2.91,54,17.2,475,46,11,50,1.6
"Hemphill city, Texas",1422,3.77,154,17.4,1422,114,45,106,32
"Pineland city, Texas",702,3.53,10,24.6,702,45,46,44,29.7
"Cinco Ranch CDP, Texas",18200,3.32,5877,34.5,18200,1444,1274,3408,3
"Jersey Village city, Texas",7896,2.9,1264,28,7896,452,411,1079,5
"Southside Place city, Texas",1704,3.29,440,19.3,1704,137,91,259,5.3
"Coyote Acres CDP, Texas",791,4.8,223,42.8,791,56,0,46,8.8
"Knox City town, Texas",1155,3.08,253,20,1155,57,22,60,2.9
"Providence Village town, Texas",6548,3.55,659,39.2,6548,592,567,1425,6.1
"San Saba city, Texas",3006,3.51,884,14.7,3006,347,38,235,16.7
"Sandy Point city, Texas",119,2.89,4,35.5,119,15,10,9,5.7
"Linn CDP, Texas",657,4.04,465,28.3,657,40,32,28,11.6
"Tilden CDP, Texas",275,3.17,84,N,275,31,1,36,0
"China Spring CDP, Texas",1183,3.54,20,24.2,1183,56,66,132,9.2
"Wildwood CDP, Texas",1117,2.68,29,38.6,1117,45,18,261,20
"Chula Vista CDP (Zavala County), Texas",899,4.58,531,N,899,0,215,47,39.7
"Amaya CDP, Texas",39,2.6,28,N,39,6,0,8,0
"Loma Grande CDP, Texas",77,9.67,60,N,77,0,0,6,0
"Kemp city, Texas",1103,3.27,94,32.4,1103,44,11,105,14.8
"Warren CDP, Texas",535,3.33,21,48.2,535,0,15,89,0
"Thunderbird Bay CDP, Texas",448,2.31,0,29.5,448,28,0,66,11.6
"Horseshoe Bend CDP, Texas",781,3.22,0,29,781,69,0,146,9
"Western Lake CDP, Texas",867,3,304,31.5,867,45,0,128,19.7
"Ramireno CDP, Texas",57,6.33,57,N,57,34,0,0,0
"Las Palmas CDP, Texas",21,-,0,-,21,0,0,0,-
"Los Lobos CDP, Texas",0,-,0,-,0,0,0,0,-
"Palo Pinto CDP, Texas",202,2.67,51,18.9,202,5,0,9,0
"Garden City CDP, Texas",388,3.5,171,25.8,388,11,13,53,7.3
"Holly Lake Ranch CDP, Texas",2841,2.52,112,37.4,2841,110,81,533,1.5
"Tivoli CDP, Texas",631,3.48,197,25.9,631,35,21,43,36
"Perrin CDP, Texas",314,2.31,0,39.9,314,0,0,44,0
"Spring Gardens CDP, Texas",579,3.53,455,31.3,579,42,18,46,4.9
"Tierra Verde CDP, Texas",435,3.87,354,21,435,52,57,39,23
"Banquete CDP, Texas",486,2.89,283,26,486,18,30,22,16.3
"Lake Bryan CDP, Texas",2293,3.9,808,29.2,2293,169,92,228,17.6
"Glidden CDP, Texas",791,5.07,357,36.9,791,0,0,52,0
"Guadalupe Guerra CDP, Texas",11,5.5,11,N,11,2,0,2,0
"Jacksonville city, Texas",14791,3.44,4350,21.8,14791,945,858,1562,24.5
"Rusk city, Texas",5543,3.14,634,21.9,5543,338,186,373,11.9
"Troup city, Texas",1782,3.81,217,24.4,1782,84,59,157,17.8
"Horseshoe Bay city, Texas",3387,2.23,223,26.3,3387,28,9,512,4.9
"Bedias city, Texas",352,3.07,72,33.6,352,5,7,37,9.3
"Talty town, Texas",1861,3.38,143,37.2,1861,95,84,433,3
"Union Valley city, Texas",367,3,18,34.4,367,4,6,83,1.8
"Lindsay city, Texas",1195,2.98,65,21.2,1195,72,34,199,0.6
"Spearman city, Texas",3248,3.17,1239,14.8,3248,174,45,263,19.2
"Crandall city, Texas",3372,3.22,169,34.8,3372,265,177,685,2.1
"Bevil Oaks city, Texas",1411,3.03,87,23.6,1411,66,98,293,1.9
"Booker town, Texas",1359,3.09,532,18.5,1359,51,15,126,10.9
"Concepcion CDP, Texas",55,4.8,10,-,55,0,0,0,0
"Skidmore CDP, Texas",1181,3.72,499,32,1181,124,25,95,17.1
"Aledo city, Texas",3454,3.64,137,28.2,3454,296,276,567,2.9
"Cool city, Texas",243,3.19,19,31,243,14,9,25,10.9
"Weatherford city, Texas",28817,3.21,2758,25.4,28817,1477,1697,3686,8.6
"La Grange city, Texas",4652,3.36,1199,15.4,4652,261,235,415,5.9
"West city, Texas",2838,3.02,155,20.9,2838,152,86,274,9.4
"Todd Mission city, Texas",49,2.35,5,64,49,6,0,10,0
"Boerne city, Texas",13834,3.47,1736,31.7,13834,951,436,1835,4.2
"Bynum town, Texas",260,4.18,4,25,260,21,11,19,7
"Franklin city, Texas",2213,3.45,159,17.4,2213,92,97,162,13.6
"Windom town, Texas",183,2.72,2,26.8,183,14,8,26,20.4
"Coffee City town, Texas",260,2.79,8,33.6,260,4,3,32,0
"Trinidad city, Texas",894,3.06,29,26.3,894,71,26,66,25.3
"Kingsbury CDP, Texas",683,3.09,16,34.1,683,14,0,84,10.1
"New Berlin city, Texas",554,3.14,28,36.2,554,46,42,91,0
"Indian Hills CDP, Texas",2676,5.18,2356,34.5,2676,452,170,147,54.1
"Paint Rock town, Texas",361,5.37,0,21.6,361,21,0,18,16.7
"Clarendon city, Texas",1971,3.6,122,19.2,1971,116,347,120,18.4
"Putnam town, Texas",93,3.28,0,N,93,16,0,10,0
"Guerra CDP, Texas",0,-,0,-,0,0,0,0,-
"Ingram city, Texas",2086,3.59,258,22.5,2086,88,77,227,11.7
"Moore CDP, Texas",447,3.8,404,26.3,447,35,0,41,31.8
"Milam CDP, Texas",1735,2.91,8,17,1735,0,27,111,18.3
"Happy town, Texas",627,2.79,39,26.4,627,26,45,63,17.3
"Buffalo Gap town, Texas",451,3.33,113,18.4,451,27,14,31,2.8
"Potosi CDP, Texas",3107,3.16,190,22.1,3107,285,162,551,2.5
"Alto town, Texas",1261,3.26,411,12.7,1261,100,35,90,41.6
"Ranger city, Texas",3220,4.91,274,17.1,3220,175,377,193,12.6
"Comfort CDP, Texas",3590,4.73,1221,21.5,3590,230,0,316,10
"Forney city, Texas",17793,3.68,2224,35.2,17793,1200,1130,3593,4.6
"Oak Ridge town (Kaufman County), Texas",543,3.62,27,38.2,543,40,31,99,5.9
"Rosser village, Texas",278,3.48,33,39.6,278,27,3,35,25
"China city, Texas",959,2.93,29,24,959,51,12,110,5.7
"Lope̱o CDP, Texas",146,4.84,81,N,146,0,0,0,0
"Cut and Shoot city, Texas",1551,3.8,95,34.6,1551,107,67,129,9.6
"Encantada-Ranchito-El Calaboz CDP, Texas",1486,3.68,1270,20.3,1486,110,84,99,38.9
"Saline̱o CDP, Texas",133,5.33,125,N,133,20,0,0,23.8
"Hermleigh CDP, Texas",480,3.17,138,26,480,41,22,11,1.4
"Alvarado city, Texas",3913,3.46,502,30.4,3913,235,120,547,13.4
"Burleson city, Texas",43296,3.24,2537,30,43296,2198,2280,7904,4.3
"Eidson Road CDP, Texas",9680,4.28,8819,21.8,9680,815,179,633,23
"El Indio CDP, Texas",122,4.08,93,N,122,0,0,0,44
"Kerens city, Texas",1838,3.02,79,25.5,1838,64,77,172,23.3
"Snyder city, Texas",11543,3.4,2856,15.5,11543,702,568,1393,7.7
"Crowley city, Texas",14866,3.44,1086,32.2,14866,1209,778,2635,8.6
"Joshua city, Texas",6800,3.21,765,31.9,6800,372,325,1175,7.1
"Robert Lee city, Texas",1045,2.51,141,13.7,1045,51,33,93,20
"Bay City city, Texas",17487,3.44,4986,20.3,17487,834,400,1194,21
"Mildred town, Texas",413,3.75,24,26.4,413,38,23,51,10.4
"Clarksville city, Texas",3223,3.16,212,23.1,3223,255,16,249,17.8
"Detroit town, Texas",781,3.2,0,19.1,781,50,44,53,17.4
"Heath city, Texas",8153,3.14,661,34.2,8153,648,495,1738,2.2
"Albany city, Texas",1875,3.1,119,16.2,1875,211,116,192,12.8
"Barstow city, Texas",570,4.68,415,22.6,570,23,10,8,18.7
"Nazareth city, Texas",302,3.77,5,22,302,22,0,33,0
"Milford town, Texas",717,3.51,57,27.1,717,59,7,50,10.5
"Balmorhea city, Texas",653,4.16,387,20.7,653,67,14,38,1.4
"Texhoma city, Texas",341,2.6,46,17.7,341,8,9,49,5.7
"Trinity city, Texas",2741,3.08,579,22.7,2741,103,53,165,33.2
"Burkburnett city, Texas",11100,3.04,298,18.5,11100,492,547,1559,11.6
"Portland city, Texas",16618,3.31,3875,22.3,16618,1087,724,2279,4.4
"Lincoln Park town, Texas",145,2.33,15,52.4,145,5,4,9,6.5
"Gladewater city, Texas",6381,3.11,211,30.5,6381,236,269,694,26.2
"Warren City city, Texas",312,3.21,11,23,312,9,27,52,10.3
"La Paloma-Lost Creek CDP, Texas",600,4.73,294,26,600,38,36,23,10.3
"Sandy Hollow-Escondidas CDP, Texas",388,3.25,69,28.7,388,16,28,64,0
"Arroyo Colorado Estates CDP, Texas",486,3.68,358,N,486,32,56,12,34.8
"Bixby CDP, Texas",608,4.82,255,N,608,10,0,25,55.9
"Lasana CDP, Texas",121,3.78,72,N,121,0,4,5,0
"Diboll city, Texas",5325,3.39,1898,24.6,5325,303,285,290,24.1
"Highland Village city, Texas",16168,3.26,1692,33.1,16168,1122,784,3900,1.7
"Justin city, Texas",3529,3.26,229,31.6,3529,198,168,676,3.7
"Krum city, Texas",4896,3.65,743,28.7,4896,437,222,973,1.4
"Lake Dallas city, Texas",7716,3.07,1314,33.7,7716,439,526,1380,4.6
"Oak Point city, Texas",3503,2.97,493,40.2,3503,127,144,897,6.3
"Ponder town, Texas",1670,3.52,184,32.6,1670,143,82,337,1.2
"Randolph town, Utah",648,5.25,0,30.9,648,55,19,52,3.5
"Thatcher CDP, Utah",700,3.53,36,26.9,700,70,10,216,0
"Dutch John town, Utah",131,8.93,12,N,131,2,0,3,0
"Interlaken town, Utah",158,2.17,0,N,158,4,0,52,0
"Flaming Gorge CDP, Utah",85,3.65,0,N,85,0,0,15,0
"Carbonville CDP, Utah",1530,3.05,45,27.3,1530,38,64,230,16.2
"Spring Glen CDP, Utah",1129,3.01,11,22.9,1129,44,12,154,4.1
"Kenilworth CDP, Utah",245,1.95,0,N,245,0,0,76,0
"West Wood CDP, Utah",655,3.33,25,10.6,655,21,28,135,0
"Clear Creek CDP, Utah",14,-,14,N,14,0,0,0,-
"Emigration Canyon CDP, Utah",1931,3.14,78,23.1,1931,138,164,481,9
"Copperton CDP, Utah",579,2.83,19,31.1,579,32,21,151,0
"Central CDP, Utah",641,2.4,43,32.3,641,0,0,196,5
"Veyo CDP, Utah",468,4.26,17,21.9,468,0,42,64,11.9
"Dammeron Valley CDP, Utah",805,2.95,0,17.9,805,46,60,171,5.1
"Pine Valley CDP, Utah",224,3.88,0,N,224,16,37,32,0
"Deseret CDP, Utah",274,3.61,0,37.5,274,23,0,27,31.6
"Oasis CDP, Utah",0,-,0,-,0,0,0,0,-
"Sutherland CDP, Utah",92,2.75,0,N,92,14,0,0,0
"Bonanza CDP, Utah",0,-,0,-,0,0,0,0,-
"Jensen CDP, Utah",113,4.52,0,N,113,0,0,21,0
"Eden CDP, Utah",725,3.78,21,25.5,725,84,78,100,0
"Wolf Creek CDP, Utah",1138,2.68,46,30.4,1138,33,48,300,0
"Liberty CDP, Utah",1427,3.33,19,32.6,1427,138,63,336,4.7
"Thompson Springs CDP, Utah",170,8.1,0,N,170,17,0,0,0
"Newcastle CDP, Utah",285,2,11,20.3,285,14,33,31,0
"Beryl Junction CDP, Utah",17,-,10,-,17,0,0,0,-
"Summit CDP, Utah",203,3.28,0,22.5,203,16,0,23,0
"Bluebell CDP, Utah",238,3.11,0,19.5,238,10,12,24,6.9
"Silver Summit CDP, Utah",4205,3.36,185,24.8,4205,326,108,782,0
"Snyderville CDP, Utah",6271,2.93,924,21.5,6271,398,207,1358,4.8
"Peoa CDP, Utah",243,2.05,0,28.3,243,6,0,42,0
"Echo CDP, Utah",103,3.43,0,25.1,103,26,17,0,0
"Wanship CDP, Utah",484,2.96,0,28.9,484,31,58,83,23.8
"Hoytsville CDP, Utah",586,2.85,90,27.3,586,37,15,82,27.7
"Marion CDP, Utah",625,3.5,24,21.4,625,22,0,77,0
"Fremont CDP, Utah",214,4.24,39,N,214,29,0,34,0
"Teasdale CDP, Utah",173,3.76,3,N,173,11,0,21,0
"Mountain Green CDP, Utah",3470,4.02,155,31.4,3470,260,217,620,4.4
"Enterprise CDP, Utah",870,3.91,47,26.5,870,61,107,122,10
"Toquerville city, Utah",1943,3.9,34,23.4,1943,89,80,354,6
"East Carbon-Sunnyside city, Utah",1475,3.08,121,29.9,1475,29,75,253,20.9
"Oljato-Monument Valley CDP, Utah",979,6.01,779,22.9,979,82,34,10,47.7
"Tselakai Dezza CDP, Utah",106,4.9,93,64.6,106,9,2,0,15
"Castle Dale city, Utah",1631,3.76,75,18.6,1631,98,5,237,11.5
"Elmo town, Utah",334,3.35,15,26.1,334,11,4,44,13.9
"Elsinore town, Utah",717,2.68,60,16.3,717,46,22,145,7.4
"Avon CDP, Utah",199,2.84,0,47.7,199,12,6,48,4.5
"Lewiston city, Utah",2006,3.74,288,23.2,2006,147,71,338,13.2
"Smithfield city, Utah",10832,3.77,720,19.5,10832,1142,467,1851,2.2
"Elwood town, Utah",1091,3.82,39,26.4,1091,107,59,202,6.6
"Tremonton city, Utah",8242,3.67,843,21,8242,476,512,1259,15
"Centerville city, Utah",17013,3.52,922,21.2,17013,1307,848,3183,3.4
"Aneth CDP, Utah",490,5.7,311,22.3,490,75,0,4,35
"Kaysville city, Utah",30328,4,1822,22.7,30328,2268,2124,5292,2.9
"West Bountiful city, Utah",5504,3.47,369,22.2,5504,414,316,1091,2.4
"Roosevelt city, Utah",6771,3.53,828,17.1,6771,436,223,993,10.5
"Moab city, Utah",5232,3.29,479,14.1,5232,161,105,707,5.5
"Bluffdale city, Utah",10869,4.06,349,26.3,10869,721,711,1784,2.9
"Holladay city, Utah",30793,3.26,3164,20.4,30793,1627,1780,5558,2.7
"Hatch town, Utah",123,2.42,2,13.1,123,3,4,31,4.4
"Sigurd town, Utah",528,3.54,9,17.5,528,10,14,91,7.9
"Eureka city, Utah",471,2.86,4,37.5,471,28,15,81,4.4
"Manti city, Utah",3420,3.49,56,20.3,3420,304,203,473,6.7
"Spring City city, Utah",995,2.97,48,27.3,995,38,27,163,9.9
"New Harmony town, Utah",186,2.61,11,18.8,186,4,2,20,9.7
"Summit Park CDP, Utah",7954,3.03,1024,25.7,7954,625,407,1857,3.3
"Fort Duchesne CDP, Utah",685,5.28,516,12,685,77,0,0,26.7
"Naples city, Utah",2387,4.31,133,24.3,2387,84,44,327,6.8
"Springdale town, Utah",447,2.47,29,14.7,447,9,12,55,0
"Junction town, Utah",119,4.32,19,29.7,119,10,0,17,12
"Cedar Fort town, Utah",329,3.3,9,37.2,329,29,4,72,2.2
"Spring Lake CDP, Utah",373,3.6,0,27.6,373,33,4,32,1.1
"Ogden city, Utah",85497,3.43,17581,20.3,85497,4448,6081,11795,15.4
"Marysvale town, Utah",563,4.64,3,24.7,563,33,0,51,16.2
"Sterling town, Utah",217,3.17,2,24.1,217,13,9,52,1.7
"Coalville city, Utah",1808,3.67,305,26.8,1808,151,84,310,8.9
"Oakley city, Utah",1298,3.47,114,27.6,1298,82,30,266,0.9
"Rush Valley town, Utah",517,3.5,0,41.8,517,35,22,96,4.6
"Vernal city, Utah",10650,3.91,913,14.4,10650,590,462,1146,17.3
"Torrey town, Utah",339,2.97,47,9.3,339,14,6,76,2.1
"Hurricane city, Utah",15676,3.41,1246,22.1,15676,943,840,2378,7.6
"Washington city, Utah",24231,3.25,2070,20.3,24231,1123,1231,3670,10.9
"Goshen town, Utah",1058,3.84,128,31.7,1058,97,41,201,9.8
"Lindon city, Utah",10761,4.1,933,17.6,10761,1071,750,1500,5.5
"Riverdale city, Utah",8685,3.13,804,19.1,8685,482,748,1565,10.5
"Plain City city, Utah",6343,4.1,135,23.3,6343,428,318,1148,1.7
"Highland city, Utah",17952,4.36,837,21,17952,2445,1200,2736,2.4
"Pleasant Grove city, Utah",37439,3.93,3214,21.4,37439,2832,3455,5198,7.3
"Timber Lakes CDP, Utah",545,2.66,0,43.8,545,0,39,149,0
"Pleasant View city, Utah",9375,3.83,624,23.1,9375,857,542,1642,4.8
"Roy city, Utah",38013,3.54,4110,22.9,38013,2490,2345,7310,8.6
"Scofield town, Utah",15,2.14,0,N,15,0,0,0,0
"Helper city, Utah",2031,2.9,71,24.7,2031,81,102,362,7.7
"Washington Terrace city, Utah",9122,3.3,318,22.8,9122,651,522,1466,9.8
"West Haven city, Utah",12109,3.56,703,21.7,12109,928,865,2146,4.9
"Kingston town, Utah",143,3.73,2,32.9,143,3,8,31,0
"Riverton city, Utah",41997,3.97,3162,23.9,41997,3134,2369,8324,2.3
"South Jordan city, Utah",65523,3.78,5685,24.8,65523,4455,4641,11721,1.8
"South Salt Lake city, Utah",24722,3.5,7838,21.5,24722,1355,1934,2916,18.6
"West Valley City city, Utah",135546,4.01,49594,22,135546,9843,6555,18575,11.1
"Dugway CDP, Utah",411,2.91,31,10.9,411,23,10,0,0
"Stansbury Park CDP, Utah",9446,3.72,363,28.3,9446,794,487,2097,2
"Stockton town, Utah",699,3.03,29,29.5,699,55,31,130,3.4
"Lyman town, Utah",395,3.43,10,12.8,395,40,10,46,0.9
"Henefer town, Utah",767,3.08,8,27.9,767,41,40,133,2.2
"Kamas city, Utah",2126,3.59,441,24.2,2126,133,46,331,10.4
"Park City city, Utah",8167,2.82,1555,23,8167,358,235,1211,11.7
"Rockville town, Utah",313,2.88,8,21.1,313,27,25,60,0
"Virgin town, Utah",542,2.89,30,24.2,542,88,10,99,4.8
"Benjamin CDP, Utah",1213,3.49,56,22,1213,131,33,164,6
"Draper city, Utah",47043,3.63,5275,23.2,47043,4022,2773,8249,4.3
"Palmyra CDP, Utah",430,2.55,0,15.6,430,15,44,59,4.8
"Santaquin city, Utah",10740,4.22,1260,24.5,10740,887,484,1835,6.4
"Wales town, Utah",386,3.58,24,20.3,386,46,16,51,9.1
"Lake Shore CDP, Utah",642,3,8,37.7,642,44,0,118,2.7
"South Ogden city, Utah",16918,3.26,1804,19.7,16918,908,1359,2922,4.7
"West Mountain CDP, Utah",1012,3.8,53,28.7,1012,128,64,116,5.1
"North Ogden city, Utah",18525,3.53,634,24.6,18525,1208,1081,3531,3.4
"Manila town, Utah",186,3.83,0,20.8,186,15,0,5,0
"Mayfield town, Utah",364,2.79,23,16.2,364,10,10,76,3.4
"Wellington city, Utah",1520,3.06,121,13.7,1520,57,69,235,16.7
"Circleville town, Utah",801,4.53,47,23.4,801,50,34,106,9.1
"Murray city, Utah",49038,3.16,5608,20.2,49038,2528,3973,7761,7.3
"Taylorsville city, Utah",60377,3.53,12275,21.4,60377,3222,3566,9642,8.4
"Erda CDP, Utah",2208,3.24,146,26.8,2208,297,187,496,0
"Ballard town, Utah",915,4.05,77,19.6,915,67,26,133,8.8
"Santa Clara city, Utah",6835,3.7,362,19.1,6835,648,480,1144,3.5
"American Fork city, Utah",28507,3.92,2324,20.5,28507,2297,1952,4414,6.9
"Genola town, Utah",1292,3.66,107,29.5,1292,124,12,199,8.7
"Lehi city, Utah",58351,4.17,5425,24.2,58351,4238,2697,9789,5.2
"Orem city, Utah",94420,3.78,17338,17.9,94420,5773,12527,10818,11.5
"Provo city, Utah",116199,3.46,21850,17.8,116199,5292,38244,9059,16.3
"Ophir town, Utah",24,2,0,N,24,0,0,7,0
"Bicknell town, Utah",230,2.68,20,23.6,230,12,0,31,0
"Enterprise city, Utah",1663,4.09,53,20.5,1663,157,80,256,7.1
"Alpine city, Utah",10197,4.04,781,26.3,10197,1200,945,1533,3.8
"Elberta CDP, Utah",136,3.64,79,N,136,35,0,5,0
"Mapleton city, Utah",9255,4,594,23.4,9255,878,674,1479,3.2
"Springville city, Utah",32319,3.96,4783,20.2,32319,2442,2137,4550,5.6
"Vineyard town, Utah",2958,4.13,391,20.6,2958,30,360,305,3.5
"Farr West city, Utah",6671,3.69,231,21.7,6671,504,368,1262,3.2
"Harrisville city, Utah",6182,3.6,468,23.5,6182,344,372,1367,0.4
"Huntsville town, Utah",732,3.44,44,36,732,37,54,110,1.1
"Marriott-Slaterville city, Utah",1978,3.34,74,17.9,1978,152,95,358,3.8
"Uintah town, Utah",1520,3.51,119,20.5,1520,124,50,314,2.6
"Francis town, Utah",1171,3.3,31,29.9,1171,73,49,229,7
"Woodland CDP, Utah",187,2.43,9,36.1,187,0,12,57,0
"Charleston town, Utah",603,3.4,15,21.8,603,74,26,89,4.1
"Wendover city, Utah",1243,3.42,821,7.8,1243,141,5,19,32.3
"Maeser CDP, Utah",4267,4.19,138,15.4,4267,275,215,708,1.2
"Randlett CDP, Utah",144,10.55,83,N,144,0,0,0,45.5
"Whiterocks CDP, Utah",217,3.98,140,N,217,0,0,0,37
"Hildale city, Utah",2916,9.03,0,16.3,2916,217,24,19,54.9
"Leeds town, Utah",707,2.56,42,24.2,707,8,40,177,4
"St. George city, Utah",79995,3.29,8398,15,79995,4417,7024,10989,11.1
"Cache CDP, Utah",0,-,0,-,0,0,0,0,-
"Paradise town, Utah",1147,3.83,15,26,1147,99,42,209,6.3
"Peter CDP, Utah",516,3.77,0,22.1,516,36,33,118,0
"Howell town, Utah",250,2.97,0,37.4,250,21,4,37,4.2
"Clearfield city, Utah",30683,3.7,3375,21,30683,1940,1925,3996,11.5
"Paragonah town, Utah",511,3.45,14,25.7,511,28,16,88,6.3
"Delta city, Utah",3478,3.41,492,14.2,3478,274,158,468,9.6
"Meadow town, Utah",280,2.79,19,15.3,280,4,3,52,5.6
"Oak City town, Utah",716,3.68,30,26.4,716,57,11,88,4.8
"Price city, Utah",8337,3.38,523,11.9,8337,544,747,1023,15.7
"Boulder town, Utah",152,2.19,18,6.2,152,2,2,15,0
"Garden City town, Utah",678,6.17,51,8.6,678,33,19,73,26.3
"Laketown town, Utah",173,2.81,4,21.3,173,17,0,36,0
"Redmond town, Utah",648,3.46,62,19.7,648,64,31,124,10.1
"Salina city, Utah",2512,3.18,80,19.8,2512,165,81,437,15.2
"Cove CDP, Utah",387,3.47,0,24.4,387,17,14,80,6.7
"Hyde Park city, Utah",4359,3.88,383,15.9,4359,360,329,732,3.6
"Richmond city, Utah",2580,3.87,128,22.3,2580,146,187,384,6.5
"Portage town, Utah",280,3.27,2,38.5,280,15,8,37,16.5
"Parowan city, Utah",2913,3.4,165,13.6,2913,201,187,454,2.1
"Hinckley town, Utah",608,3.36,88,17.8,608,62,2,105,11
"Holden town, Utah",404,3.17,0,20.6,404,16,18,58,7.2
"Brigham City city, Utah",18736,3.31,1601,23.2,18736,1242,972,2732,10.5
"Mantua town, Utah",673,2.91,40,25.8,673,34,32,134,6.9
"Farmington city, Utah",22616,3.87,1454,23.7,22616,1556,1437,3913,2.2
"West Point city, Utah",10258,3.8,929,24.3,10258,874,906,1977,3.4
"Enoch city, Utah",6331,4.31,283,24.3,6331,438,406,1094,8.8
"Beaver city, Utah",3020,3.39,58,11.7,3020,232,123,470,8.8
"Ephraim city, Utah",6858,3.47,639,19.1,6858,375,1706,575,15.2
"Fayette town, Utah",291,3.87,20,14.3,291,26,0,46,7.1
"Glendale town, Utah",266,3.14,4,14.5,266,18,9,39,13.2
"Kanab city, Utah",4448,3.65,179,9,4448,287,54,737,5
"Clarkston town, Utah",712,3.52,46,35.4,712,75,25,122,1.1
"Cornish town, Utah",220,3.06,47,23.6,220,15,5,40,5.8
"Fairview city, Utah",1477,3.56,45,31.5,1477,175,61,233,3.1
"Moroni city, Utah",1640,3.79,470,19.1,1640,148,34,247,9.1
